Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
More Than Famous,N/A,,"The award-winning documentary/love-story of Salvadorian-American boxing champion Carlos ""Famoso"" Hernandez as he fights for his American Dream,two world titles and the spirit of an entire country...with a little help from the love of his life, his wife Veronica.",en,https://image.tmdb.org/t/p/w500/4WrpDhU11yQXUAMEEB1AMX3Gnmq.jpg,6,N/A,
Dream Generation,2003,99,"Francesca, Morgana, Edo and Antonio. Four of today’s youngsters. Four inadvertent representatives of today’s generation of 20-year-olds who “do whatever I want”.By chance they find that they’re spending a week in Catania together, the Baroque city perched on the slopes of a volcano, the continual rumbling of which seems to reflect their restlessness…",it,https://image.tmdb.org/t/p/w500/aEpdnActupIBIm7nyVLyKVJBWi0.jpg,6.5,Luca Guadagnino,"Paso Doble Film S.r.l., Tele+"
Nympha,2003,18,"A re-imagination of the Celso Ad Castillo classic, ""Nympha"" tells the story of an orphan woman named Nympha living in a backward province with a narrow minded aunt who is a religious fanatic.",en,N/A,2,Celso Ad. Castillo,Regal Entertainment Inc.
O'Lucky Man,2003,35,"Set in the future, Em is a young, good-looking guy whose 'Dream Machine Project' promises much. Unsurprisingly women are queuing up to date him, among them Rose, the sexy vice president of Em's company. While he still indulges in womanizing, Em's life is totally changed when he encounters God in the form of a surreal creature, who makes him an irresistible proposal.",th,https://image.tmdb.org/t/p/w500/tYIysAlxKOTAvMrV3cctc3E0fCA.jpg,0,Kittiphit Thamrongwinitchai,Five Star Production
Witchery deal,2003,"27, 53","To a give inn town a young man with him girlfriend returns. It is the last member of a family who, without knowing it, is going to fulfill an old curse: to end another family who many years before had killed him relatives. A psychiatrist helps the police to unravel the atrocious crime, in which they are themselves implied ghost and living deads.",es,https://image.tmdb.org/t/p/w500/mShZPHxhXiI8iFQP48zt6VPWuhS.jpg,4.4,Javier Elorrieta,Orígen S.L.
Pakners,2003,"28, 35","A story about Manuel man who's just been conned out of his savings when he meets up with Nanding a Jeepney driver who has a plan for how the two of them can find riches, billiards.",tl,https://image.tmdb.org/t/p/w500/75Yf37BNZYew8834e1sN7EXxLtS.jpg,10,Tony Y. Reyes,FPJ Productions
Paper Chasers,2003,,"Paper Chasers is a feature length documentary about the impact of hip hop entrepreneurs who have built successful businesses in music, film, fashion, TV, print media, and now the Internet. Filmmaker/entrepreneur Maxie Collier (aka Son #1) and his production team travel the country in an RV, documenting the ambitions, successes, and failures of paper chasers at all levels of the game? everyone from hungry upstarts to successful old school veterans. The film combines these interviews with behind-the-scenes footage as Collier struggles to hold his team together through the rigors of their ambitious low budget production. The end result promises to be an insightful documentary filled with unpredictable moments and an incredible soundtrack.",en,https://image.tmdb.org/t/p/w500/wazNCDNbPe51x0dl5FziqkeuUoO.jpg,0,Maxie Collier,
Raining Cats and Frogs,2003,16,"It's a catastrophe! A flood has hit our planet and an unusual group of people are all that remains. Led by Ferdinand, a modern day Noah, this little group have managed to defy the furiously raging elements. People and animals alike are dragged through this incredible whirlpool of an adventure.",fr,https://image.tmdb.org/t/p/w500/k6E3mk4NChtf38uMYsc0cvAe5IA.jpg,6.9,Jacques-Rémy Girerd,"Folimage, France 2 Cinéma, Auvergne-Rhône-Alpes Cinéma"
Old Mad Rock,2003,"10402, 35","The Dino Band was a famous rock band that split more than thirty years ago, but the rocker's blood in each of them is calling for a reunion, if only to prove that they are not just a bunch of old has-beens. Of course, there are enormous difficulties....there is a generation gap between them and current rock fans; and each of them has personal problems. But determination, and the fact that this chance may never come again makes them struggle to prove the saying ""Rock Never Dies"" And if they are going to die soon, they need a stage for their finale.",th,https://image.tmdb.org/t/p/w500/usINB94CYcBdRVfm3nrbZxDCnU1.jpg,3,Pisut Praesangeam,R.S. Film
Punla,2003,18,"""Punla"" is the story of a childless loving couple. Manny who always wanted to have a child, is impotent. Instead, he asked his friend, Zaldy to provide the ""seed"" (punla) for his beautiful wife, Jenny.",tl,https://image.tmdb.org/t/p/w500/zUw3m7k24RhJLleGFFWgogW9qt3.jpg,4,Robert B. Abihay,Leo Films
Rectuma,2003,,"Waldo Williams returns from his Tijuana vacation to find out that he had become infected by the Notorious Mexican Butt Humping Bullfrog. After being diagnosed by his proctologist with just days to live, Waldo seeks the help of the mysterious Japanese specialist, Dr. Wansamsaki, who treats Waldo with his unorthodox methods, which involve a long nuclear rod. The next day, Waldo’s rear end starts glowing a bright green – and that’s only the beginning. Within days, Waldo’s rear end develops a mind of its own, becoming capable of breaking away in the middle of the night, committing a mur­der or two and then returning before morning, leaving a fecal trail that leads right to Waldo’s bedroom.",en,https://image.tmdb.org/t/p/w500/wJXyiH1Qo46vNjCBF8jNdceanWK.jpg,5.1,Mark Pirro,Pirromount Pictures
See Grace Fly,2003,18,"Grace McKinley is a brilliant 38-year-old woman with schizophrenia. When her mother dies, Grace's actions become increasingly erratic. She takes two weeks to report the death, and in that time is sent a shattering message that only she can decipher.",en,https://image.tmdb.org/t/p/w500/oQ8ufdhq7CqY7UnBz4HSsALmQPg.jpg,2,Pete McCormack,"Little Kingdom Productions, See Grace Fly Productions Inc."
Shalom Y'all,2004,99,"Traveling in a vintage Cadillac, filmmaker Brian Bain, a third generation Jew from New Orleans, sets out on a 4200-mile road trip though the American South. Traveling through Delta flatlands, small towns in Mississippi, suburban subdivisions, Texas ranches, and sprawling Sunbelt metropolises what he uncovers is the unique and diverse history of Southern Jews. Along the way, Bain woos his future wife, herself a southern Jew, and discusses Jewish participation in the Civil Rights Movement.",en,https://image.tmdb.org/t/p/w500/djUJBfyN0xb8eYmrd9PNFJke4ba.jpg,0,Brian Bain,
Illusive Tracks,2003,"35, 53","Christmas 1945. In a train from Stockholm to Berlin are a motley collection. It is the failure of the author Gunnar who wants to leave his old life and make a contribution in Berlin; physician Henry who plan to marry Marie and likewise Henry's current wife Karin, who he plans to kill during the journey, the middle-aged gay couple Pompe and Sixten, a soldier going to Uppsala but is on the wrong train: the cheerful and cynical old Margaret, and a dressed elf and a surly conductor. With the train are also a number of Baltic refugees accompanied by two nuns to be sent to Germany.",sv,https://image.tmdb.org/t/p/w500/fYr2mCTp7ynjMjqQshvO0hQtoXt.jpg,6.1,Peter Dalle,"Fladen Film, Hustruskolan, Canal+ Television, SVT, Stockholm Postproduction"
The Black Lapp,2003,"35, 80, 18","Anna lives with her father Karl someplace in the outskirts of northern Norway. Karl killed his ex-wife and threw her newborn coloured child into the sea when he discovered that she obviously had been unfaithful. Now Karl is being haunted by her ghost and is developing a serious drinking problem. Anna is looking for the love of her life, but there aren't many bachelors around - until they discovers another small family on the other side of the mountain. They meet a semi-alcoholized widow on Karl's age, her son Peder, and her black adopted son, Ante, that arrived from the sea on a piece of wood.",no,https://image.tmdb.org/t/p/w500/cUlWI198eXtcnvk7U422ZM3FuUA.jpg,6,Erik Smith-Meyer,
The Third Name,2003,"35, 18, 53","A stranger highjacks a boat close to the Icelandic shore, and demands to speak to his ex-girlfriend, but she has never heard of him.",is,https://image.tmdb.org/t/p/w500/34lEK95hLupSgLltBUfDNAlKfwB.jpg,4,Einar Þór Gunnlaugsson,
Las voces de la noche,2003,,"Spain, fifties. In a town grew around a living factory Jorge (Tristan Ulloa), the youngest son of the founder, and Elisa (Laia Marull), daughter of accounting. The two live with their families and are able to endure the monotony of their lives because they spend the afternoon on Wednesdays and Saturdays at a hotel in the city. This secret life together is essential for both. The small room in the city where encounters occur has become the only place where they can be themselves. That little space, a little sinister, find it more cozy, warm and near the home of Elisa gorgeous, spoiled by the mother, or the great house of George, full of family memories. Both are aware of the type of relationship they have created, and not demand more. Until Elisa decides to break the rules.",en,https://image.tmdb.org/t/p/w500/cNZNjAHQMxAq3fEiPQUiRjdfvPI.jpg,5,Salvador García Ruiz,
The Watermelon Heist,2003,35,"To make money fast the Browns come up with a plan to win a contest for ""Watermelon Juice Afro Sheen,"" awarding $10,000 to whoever can find the juiciest, sweetest watermelon in the country.",en,https://image.tmdb.org/t/p/w500/jvSRSlEA7OHm8EB425kMf3YM9OH.jpg,1,K.C. Amos,"Step & One Half Productions, Colored Wind Productions"
Welcome to Destination Shanghai,2003,18,"Shanghai was once called the ""Paris of the East,"" but changes come with time and social tumult. Now, amid crumbling buildings, crushing poverty and social decay, filmmaker Andrew Cheng captures a city fallen victim to moral and economic decline. Through a collection of vignettes involving male prostitutes, aging hookers and other sex-trade workers, Cheng reveals the sordid heart of a once glittering metropolis.",zh,https://image.tmdb.org/t/p/w500/nYdgPWGCPJJlQoVpZwHtYZw5F7h.jpg,2.7,Andrew Y-S Cheng,Andrew Y-S Cheng Films
Westender,2004,"14, 28, 878","Set in a fictional medieval world, this is the story of Asbrey of Westender. Once a great heroic knight, he has mysteriously fallen from grace. One night he drunkenly bets and loses his ring, his last possession of worth. He then embarks on a mission to regain his ring and, in due course, confront the demons of his past.",en,https://image.tmdb.org/t/p/w500/kzHYjyGietgguxB3hCWwcfjr7kV.jpg,2.8,Brock Morse,
Interesting Times: This Happy Life,2002,,Part of the 'Interesting Times' series with Kang Jianning's Xiao's Long March and Duan Jinchuan's My Secret to Success.,en,https://image.tmdb.org/t/p/w500/gSqE7E98BlPIsCcKnGKc9gNLT5w.jpg,0,Yue Jiang,
Love Is Not a Sin,2003,18,"《Love Is Not a Sin》is a genuine Macanese film made by a local director Chan Kin Tak. The film is an exuberantly bizarre tale about two teenage girls who have so such affections to each other. However, a hidden camera finally destroys their fancy as the recorded contents unveil a possible truth that one of them is probably a male. The director has skillfully shown a dramatic shift of mood through the use of his cameras, from an atmosphere of exuberant teenage joy to a lost in one’s own sentiments. He has also blended several elements into his plot, such as the innocence of youth, some soap materials and a sense of horror. This definitely wakes up the sensations of its audience. And a mysterious male voice narration throughout the film always keeps people puzzled about the truth.",zh,https://image.tmdb.org/t/p/w500/oK4l8QRGgzy6lOH3axnF3HoUhnm.jpg,0,N/A,
Leftie,2003,"14, 12, 10751","Futuristic movie about Alejandro, a gifted left-handed child marble player who must win a competition as the entire town's hopes - and money - rest on him.",es,https://image.tmdb.org/t/p/w500/osU4eBM9Ziy05xZ50DVdbbUmgb7.jpg,7.2,Carlos Salcés,Altavista Films
Europe - 99euro-films 2,2003,18,"Second part of a short film project, where every single short film is only allowed to cost 99 Euros. This time there are not only German filmmakers, but directors from all over Europe involved...",de,https://image.tmdb.org/t/p/w500/q5tMUE9bB9Nbq5qsDpuNRwsIQ0z.jpg,2,Richard Stanley,
Betty Blowtorch: And Her Amazing True Life Adventures,2003,"99, 10402","For two years, filmmaker and music video director Anthony Scarpa followed the all-girl punk rock band Betty Blowtorch, documenting their ferocious sound and dangerously low-tech pyrotechnic shows, unaware of the turmoil and tragedy that he will ultimately capture. From their near rise to the top of the major labels, to their ultimate sad end, this critically-acclaimed rock n roll tragedy features the band Betty Blowtorch, as well as other rockers such as Duff McKagan (Guns N Roses, Velvet Revolver), Vanilla Ice, Dez Cadena (Black Flag), Jennifer Finch (L7), Kevin Baldes (LiT), and many others.",en,https://image.tmdb.org/t/p/w500/dAK5LMwG9Ql2ymjbDpyiq69vTEz.jpg,0,Anthony Scarpa,"Food for Twelve LLC, Twelve Rakes Films"
Calcutta Mail,2003,"53, 9648, 28","Avinash(Anil Kapoor) went to Calcutta for no reason. After meeting with Reema (Rani Mukherjee), he starts having flashbacks about his past and his son. His inquiries take him to Bombay via the Calcutta Mail, and this is where he will find out whether his son is alive or not, or he has been trapped.",en,https://image.tmdb.org/t/p/w500/vuRLXfk3Tn0hYNzrb1PATfiivl0.jpg,4,Sudhir Mishra,
Caterina in the Big City,2003,"35, 18","When her social-climbing father is relocated from small-town North to his native Rome, 12-year-old Caterina enrolls to his old school, finding herself at sea with an environment where students sort themselves by social class and their parents' political affiliation.",it,https://image.tmdb.org/t/p/w500/20YWJFpf42UxcGUgXimyLrP6A5E.jpg,6.5,Paolo Virzì,"Cattleya, RAI Cinema"
Chained Sinners: Medieval Fleshpots,2003,"28, 12, 14","In a distant time and place a country is divided into several kingdoms. The king of the richest has recently died and his son and heir will have a new bride selected for him from amongst the princesses by the high priestess. But before the selection can begin, the beautiful princesses must be freed from their jealous kidnappers, who have forced them to work in the silver mines!",en,https://image.tmdb.org/t/p/w500/hmiT3SuqLiQyerFWeLcklUoq2XM.jpg,4.5,Lloyd A. Simandl,
One Missed Call,2003,"27, 9648, 14","People mysteriously start receiving voicemail messages from their future selves, in the form of the sound of them reacting to their own violent deaths, along with the exact date and time of their future death, listed on the message log. The plot thickens as the surviving characters pursue the answers to this mystery which could save their lives.",ja,https://image.tmdb.org/t/p/w500/8ujSEEePCVMyi7Mt1RQMXd6SWmy.jpg,6.2,Takashi Miike,"KADOKAWA, TOHO, 3L Filmverleih"
Chokher Bali,2003,"18, 10749",A young woman is left to her own devices when her sickly husband dies. Based on the novel by Rabindranath Tagore.,bn,https://image.tmdb.org/t/p/w500/wMujj02KoIae49e3TiV1Z5Fp6g2.jpg,7.4,Rituparno Ghosh,SVF Entertainment
Contr@site,2003,,,es,https://image.tmdb.org/t/p/w500/uvpMJFY9hQIu4DaiGV4OYhxZHgK.jpg,0,Danièle Incalcaterra,
Mega Scorpions,2003,"878, 27, 28, 35","Residents of a half-way house are bombarded by 6 foot long killer scorpions. A horror/comedy homage to the giant mutant bug films of the 1950's. The film was shown at the Frightvision Horror Festival in 2003, but has yet to see release on DVD, Blu-ray, or VOD.",en,https://image.tmdb.org/t/p/w500/fGqp4MTUYYojBrFMnFBCJdpLFfM.jpg,5.2,J.R. Bookwalter,"Shadow Entertainment, Tempe Entertainment"
Deep Toad,2003,35,"A vicious satire of the war on drugs, a DEA agent is sent underground to bust the toad smoking scene with apocalyptic repercussions and romantic consequences.",en,https://image.tmdb.org/t/p/w500/b7bqemVF6bsS6FKtTRtDyoUMoBt.jpg,0,Toby Hubner,"Sirocco Productions, Sirocco Productions"
Diva: Ah Hey,2003,,An aspiring songbird (Charlene Choi) gets a chance to prove her worth when she is asked to ghost-sing on a pop star's (Niki Chow) album.,cn,https://image.tmdb.org/t/p/w500/lVUGS77mttqJcGEsgdWEGFdC6u8.jpg,6.5,Joe Ma,Mei Ah Films Production
Fish Without a Bicycle,2003,"35, 10749, 18","Julianna is a struggling actress in a dead end relationship with Danny, a fireman who no longer lights her fire. When she decides to leave him and go ""find herself"" she ends up falling in love with an egotistical director, Michael, who can barely fit her in between Pilates classes.",en,https://image.tmdb.org/t/p/w500/1s673TdA2GfDCGlR4sIFIJ5mtMn.jpg,2,Brian Austin Green,Cheshire Smile Productions
Go Further,2003,99,"""Go Further"" explores the idea that the single individual is the key to large-scale transformational change. The film follows actor Woody Harrelson as he takes a small group of friends on a bio-fueled bus-ride down the Pacific Coast Highway. Their goal? To show the people they encounter that there are viable alternatives.",en,https://image.tmdb.org/t/p/w500/AproKPuDZ2bP9TQ0tiVvjtTB95p.jpg,6,Ron Mann,
"Go West, Young Man!",2003,,Documentary about the myth of the west.,en,https://image.tmdb.org/t/p/w500/j4dD8FSe3hhqq1U6m9oBtArY0wh.jpg,0,Peter Delpeut,
Godzilla: Tokyo S.O.S.,2003,"28, 14, 12, 878","Mothra and her fairies return to Japan to warn mankind that they must return Kiryu to the sea, for the dead must not be disturbed. However Godzilla has survived to menace Japan leaving Kiryu as the nation's only defense.",ja,https://image.tmdb.org/t/p/w500/iwRJNFY9yvtPdu0DsTXOJ8sAap3.jpg,7.1,Masaaki Tezuka,Toho Pictures
Goldfish Memory,2003,"35, 18, 10749","A small group of friends experience relationships which grow and stumble, involving everything from straight, gay, lesbian, and bisexual relationships. The speed with which these relationships last leads to the Goldfish memory effect, the belief that a Goldfish only has a 3 second memory is a metaphor for the transient nature of the characters relationships.",en,https://image.tmdb.org/t/p/w500/rJfAsc3uiMgegY4BOH7ZWq48gkA.jpg,5.7,Elizabeth Gill,Wolfe Releasing
Seducing Doctor Lewis,2003,"18, 35","A much-needed boost, in the form of a new factory, is promised to the residents of the tiny fishing village St. Marie-La-Mauderne, provided they can lure a doctor to take up full-time residency on the island. Inspired, the villagers devise a scheme to make Dr. Christopher Lewis a local.",fr,https://image.tmdb.org/t/p/w500/yMWOzmJ8WYoFe78h6Zg3Ui4qVFM.jpg,6.816,Jean-François Pouliot,Max Films
The Hittites: A Civilization that Changed the World,2003,"99, 36","This is the glorious story of the Hittites - the most powerful people in the Near East of their time. Narrated by Academy Award winner Jeremy Irons, ""The Hittites"" brings the fascinating history of this mighty empire to life with expert interviews, stunning cinematography, dramatic reenactments, and visual effects. Highlights include a breathtaking recreation of the controversial battle of Kadesh that decimated the armies of Egypt's Pharaoh Ramesses II. Based on the actual words of the Hittites, deciphered from ancient clay tablets excavated in the 20th century, their story unfolds as beautifully as it written almost 3500 years earlier.",en,https://image.tmdb.org/t/p/w500/mJP8f2DmSJVigOeo1NfCxR40fOy.jpg,6.3,Tolga Örnek,Ekip Films
Girl's Love,2004,"10749, 35, 18","The story of three half-sisters who are united when their father dies and his will dictates they live together if they are to get their inheritance. The three sisters; the passionate Nada, the westernized Roqaya, and the tempered Ghada, have to work out their differences.",ar,https://image.tmdb.org/t/p/w500/b5Njqw4EPWMuyxm1tAGKuapE8uX.jpg,7,Khaled El Hagar,
Young Gods,2003,"18, 53, 10749","Taavi,the enigmatic 18-year-old lead, has just inherited his long-deceased wealthy parents home and estate. It is high school graduation and Taavi's birthday, and after his fiends greet him au natural and are arrested, Taavi invites his friends to the mansion for a wild party. Taavi lives with a recording camera to his eye, a machine that allows his to keep interpersonal distance from everyone. Among his friends are Jere who considers himself a woman's man, Markus (who appears the well-adjusted one, and chubby, pierced Sami whose sexuality is ambiguous. The party gets wild, guests sleep around, and Taavi records it all!",fi,https://image.tmdb.org/t/p/w500/2LdUdayoATafbwCIEzeuqiuppdb.jpg,4.3,JP Siili,Helsinki-filmi
I Accuse,2003,"53, 10770","Kimberly Jansen is a single mother who lives in a small Canadian town. After cutting her hand at a party, she visits the hospital to seek what she assumes will be routine treatment. Instead, she falls victim to a predator in a white coat: Dr. Richard Darian, who drugs her and rapes her while she is asleep. Kimberly attempts to press charges, but the townsfolk and the local police, who regard her as a tramp and respect the doctor, dismiss her accusations.",en,https://image.tmdb.org/t/p/w500/mGZPrMGSnoRJd8arXaSHJgLUQpb.jpg,5.9,John Ketcham,"Rampage Entertainment Inc., Accusatory Productions Inc.,, Corus Entertainment"
The Undesirables,2003,"18, 80","USA, 1951. When a group of Italian immigrants suspected to have connections with the Mafia are sent back to Italy with the brand of ""undesirable"", a journalist decide to inquire about the story.",it,https://image.tmdb.org/t/p/w500/3Extm2SJ6NyFIVppzuEkzGvqPvt.jpg,7,Pasquale Scimeca,
Janasheen,2003,,"Australian based Lucky Kapoor (Fardeen Khan) has no interest whatsoever in his dad's, Virendra Kapoor's (Harsh Chhaya) business in India. Saba Karim Khan (Feroz Khan), however, does have an interest in the property of Mr. Kapoor, but Mr. Kapoor is not willing to sell. This angers Karim Khan, and he has Mr. Kapoor killed, and makes it look like an accident. Lucky's childhood sweetheart, Jessica Periera (Celina Jaitley), has the proof of Mr. Kapoor's death, but decides to keep it to herself. When Karim Khan meets with Lucky to re-negotiate the property, he finds that Lucky is willing to sell; he also finds that Lucky resembles his dead son. Karim Khan will give anything to make Lucky the heir to his vaste wealth and properties, but Lucky is not willing. Karim Khan turns on all the machinations he has in his power to force Lucky to be his heir.",en,https://image.tmdb.org/t/p/w500/22c5YUnTlMGOtYcLzVbjsfxgXNZ.jpg,5.2,Feroz Khan,
One Hand Can't Clap,2003,"35, 18","When Standa is released from jail, he feels a brighter future is about to take hold. Instead, his bad luck grows, thanks to a new acquaintance.",cs,https://image.tmdb.org/t/p/w500/5jKejKdB2eqySFfosF0SsEMxswo.jpg,6.4,David Ondříček,"Lucky Man Films, Česká televize, CinemArt, Barrandov Studio"
"Cala, My Dog!",2003,"18, 35",The humdrum existence of a Beijing factory worker and his family is disrupted when their beloved dog is confiscated by the police for being unlicensed. The worker has but 24 hours to raise the sizable sum required to pay the license fee.,zh,https://image.tmdb.org/t/p/w500/yJrjm1GfyJaEIwOB1aA2BMgbxx3.jpg,5.2,Lu Xuechang,
Kaise Kahoon Ke Pyaar Hai,2003,,"Karan (Amit Hongorani) is the son of Lakshmi (Farida Jalal) and Dharam (Dharmendra). His father is a professional robber, so his mother leaves him to raise Karan and his sister Kiran in dignity. However, when Karan comes of age, he supports his fathers nocturnal adventures and becomes a successful burglar.  In college, he falls in love with Priya (Sharbani Mukherjee), the daughter of the wealthy Somnath Arya (Alok Nath). Since he is a burglar, he does not dare to tell Priya about his love—however, he tells Sandwich (Johnny Lever), his loyal friend. Priya is also in love with Karan, but doesn't tell him because she is shy, despite her best friend Nikki's (Rushali) attempts to matchmake the two of them - and things get difficult for her when Sonia (Nilofer) joins the college, who is extremely good-looking and tries to woo Karan.",hi,https://image.tmdb.org/t/p/w500/iHZOfeT497359VknNr9YlkwIjnc.jpg,0,N/A,
Perfect Education 5: Amazing Story,2004,"18, 53, 10749","Because of the desolate landscape, Kobayashi chose snow-covered Hokkaido (the most northern island of Japan) as the setting for Amazing Story, a light-erotic drama about a lonely man, Kenji, who kidnaps the woman of his dreams. The woman is Harumi, a hairdresser in the deserted town where Kenji has just arrived. It's never really busy in her business. Harumi's husband is a gambling addict and spends all Harumi's money. Maybe that's why Harumi doesn't try very hard to escape when Kenji kidnaps her. His concern about her and his boundless worship probably help, too. Something strange and beautiful blossoms between the kidnapper and his victim, but can this be the basis of a long and happy encounter?",ja,https://image.tmdb.org/t/p/w500/8dqEOSYwbA0vsYvJ0F8kEeAPXfT.jpg,5.4,Masahiro Kobayashi,
Silence of the Sea,2003,18,"Settled comfortably in Sweden with his wife and two children, Siavash finds himself at middle age consumed with guilt for having abandoned his parents when he left Iran many years before. A hasty attempt to return finds Siavash stranded in the free port of Qeshm, a sort of island no-man's-land and departure point for smugglers, where the locals are as puzzled by this backwards-fleeing refugee as he is by their unfamiliar customs.",en,https://image.tmdb.org/t/p/w500/qtggfEMUSOXhHe7vJ4iEveHkF5r.jpg,6.8,Vahid Mousaian,
The Last Soviet Movie,2003,"12, 28",A spoof of Soviet epics.,en,https://image.tmdb.org/t/p/w500/1W5Yk3O1SCXiOQqtqWia0vciLcN.jpg,6.8,Alexander Hahn,Visio
