Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Never Sleep Again,1992,"18, 35",Never Sleep Again is a drama that follows three girlfriends who wander through post-wall Berlin. As they discover the eastern part of town they meet new people and learn about the places' history.,de,https://image.tmdb.org/t/p/w500/n12PkQnq7g0eoY9naQF4UfZuy8U.jpg,6,Pia Frankenberg,"Pia Frankenberg Filmproduktion, Hamburg, Vega Film GmbH",
Nitrate Kisses,1992,99,"Essay documentary explores eroded emulsions and images for lost vestiges of lesbian and gay culture. First feature by a pioneer of lesbian cinema, Hammer weaves gay and lesbian couples with footage that unearths the forbidden and invisible history of a marginalized people.",en,https://image.tmdb.org/t/p/w500/z5dy2LpDzKLYqKN3HCf3X4XZMW3.jpg,5.2,Barbara Hammer,,
North Curve,1993,"35, 18",,de,https://image.tmdb.org/t/p/w500/gezzoB94hpk2CJrwyzuCC1K67sP.jpg,5.2,Adolf Winkelmann,WDR,
Ördög vigye,1992,,,hu,https://image.tmdb.org/t/p/w500/hCAoIKf5shI6ohCWuz8we9flkuK.jpg,0,Róbert Pajer,"Magyar Televízió Fiatal Müvészek Stúdiója (MTV-FMS), Dialóg Filmstúdió",
Okoge,1992,"35, 18",A straight young woman living in Tokyo becomes involved in the lives of a gay man and his married lover.,ja,https://image.tmdb.org/t/p/w500/fqdIOSsJK6l6XKbzK9P1DfnQ76x.jpg,6.3,Takehiro Nakajima,,
Orlando,1992,"18, 14","England, 1600. Queen Elizabeth I promises Orlando, a young nobleman obsessed with poetry, that she will grant him land and fortune if he agrees to satisfy a very particular request.",en,https://image.tmdb.org/t/p/w500/otSCGdKzEeVgbfNl0YslOpRZHgk.jpg,6.9,Sally Potter,"Mikado Film, Adventure Pictures, Rio, Sigma Pictures, Lenfilm",
Out for Blood,1992,28,"A lawyer's family is murdered by drug smugglers, and he is beaten and left for dead, but survives although in a coma. When he awakes he only has a partial memory of what happened. In order to find out the real story, he trains with a karate master and becomes a mysterious avenger known as ""The Karate Man"".",en,https://image.tmdb.org/t/p/w500/xDDrOiknFMeip3GylLqvikaInrN.jpg,4.8,Richard W. Munchkin,PM Entertainment Group,
"Up, Down and Sideways",1992,35,A prosperous widow with a gay son falls for a young gym instructor in Athens.,el,https://image.tmdb.org/t/p/w500/pi37ojGpWL9KfhsITmjccHWcYzX.jpg,4.2,Mihalis Kakogiannis,Playmovie Productions,
In the Land of the Deaf,1992,99,"The films and methods of Nicolas Philibert, maker of Etre et avoir, have shown him to be one of contemporary cinema’s most acclaimed documentarists. In The Land of the Deaf is an elegantly spare and thoughtful portrait of the rich, diverse, but often isolated culture of the deaf community.  The film has tremendous power and value: it educates and transports us to another way of occupying this world, and it does so in a pleasurable, unrushed and intelligent fashion.",fr,https://image.tmdb.org/t/p/w500/wCRrtKk65aZCw9hK2NkJI4GRHJq.jpg,5.2,Nicolas Philibert,"BBC, La Sept Cinéma, Les, CNC, Canal+, TSR, RAI, Auvergne-Rhône-Alpes Cinéma",
Scent of Gardenias,1992,"80, 18","Daniel is a taxi driver who’s married to Adalgisa. When she starts acting in low-budget movies, he forbids her from seeing their son, Joaquim. For more than a decade, Daniel nurtures a feeling of revenge for his ex-wife, which gains strength when their now adult son finds his mother in full professional decay.",pt,https://image.tmdb.org/t/p/w500/2UiACjuXvvjZ3SKbF95HU7MXLta.jpg,5.8,Guilherme de Almeida Prado,"Star Filmes, Raiz Produções Cinematográficas",
The Ring with a Crowned Eagle,1992,"10752, 18",A Polish Resistance fighter who survived the Nazi years cannot accept the new Communist power.,pl,https://image.tmdb.org/t/p/w500/5O6cZTeEBUXHzudCOvPYVqZfDTf.jpg,4.8,Andrzej Wajda,"Erato Films, Zespół Filmowy ""Perspektywa"", Heritage Films, Cine Electra, Les Films du Losange, TSH",
Polul Sud,N/A,,Director:  Radu Nicoara,en,N/A,6,N/A,,
The Postmistress,1992,35,"In 1935, in a Quebec village, a boy observes with curiosity the little intrigues of the adult world.",fr,https://image.tmdb.org/t/p/w500/8ypk0ueTHJKXaZQnb1tDGrRGYqA.jpg,4,Gilles Carle,,
The Puerto Rican Mambo (Not a Musical),1992,35,"Luis Caballero takes you on a tour of what life as a Hispanic is like in the United States. The film, based on Caballero's stand-up comedy, takes a satirical look at daily life, the media, movies, prejudice and more.",en,https://image.tmdb.org/t/p/w500/dOOWva5XhPmMlfDRJVZSvYScVKZ.jpg,0,Ben Model,,
Rabi,1992,18,"A blacksmith falls off his bicycle when he tries to avoid a tortoise which crosses his path. He brings the animal home to his twelve year old son, Rabi, who becomes so fascinated that he forgets his chores at this father's shop. When the angry smith removes the tortoise, Rabi's grandfather, Pusga, helps Rabi find a larger one to consol the boy. Rabi wants to tame the animal and this new obsession leads him to defy parental authority. Pusga gently opens the boy's eyes to the visible and invisible ways of nature. Rabi starts to understand liberty, responsibility and respect for life. In turn he awakens long buried sentiments in the grandfather.",bm,https://image.tmdb.org/t/p/w500/dwV7V9qpszA1QjtOR6SHW2LHkE0.jpg,5.8,Gaston Kaboré,Cinecom Production,
Radio Yerevan,1992,,"""A refrigerator truck loaded with humanitarian aid arrives in Armenia. The drivers are unable to locate the road to Yerevan and keep looking for it. Parallel to this a string of ludicrous stories unfolds. This is the story of Radio Yerevan in a nutshell, according to its makers."" - IFFR",en,N/A,0,Arsen Azatyan,,
