Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production
The Skier’s Guild to the Galaxy,1992,,"Chamonix, Courmayeur, les Arcs, Telluride, Maui, Whistler/Blackcomb. What more could you ask for in one groovy concoction of a movie? The universe is a lot more fun if you bring something to slide on! Featuring music by Seal, 808 State, Stone Temple Pilots, Eugenius, New Atlantic, Jomanda, Baha Men, T-Diva, Jay Williams, SoL.A., Tumblweed.",en,https://image.tmdb.org/t/p/w500/1VxiyUtO4dV5bDU6ygo75nFnYlV.jpg,0,Greg Stump,Greg Stump Productions
Framing Lesbian Fashion,1992,99,"Framing Lesbian Fashion looks at the evolution of lesbian attire and identity – butch/femme, flannel, androgyny, cross-dressing and drag, queer fluorescent, S/M and leather, lipstick and more.",en,https://image.tmdb.org/t/p/w500/qHD0wLBhnVEhvoLPYGRM0aNDpax.jpg,2.5,Karen Everett,Frameline
Millowitsch Theater - Der keusche Lebemann,1992,35,,de,N/A,0,Willy Millowitsch,Millowitsch-Theater
Minoru & Me,1992,,"British-based filmmaker Toichi Nakata invited his Japanese pal Minoru to visit him in London. Minoru, who has cerebral palsy, tells Toichi he has a confession to make.",ja,N/A,0,Toichi Nakata,
Stubborn Fate,1992,35,"Carolina Rambaldi isn't fulfilled by her three children: Marcello, a lazy do-nothing, Lucrezia, a bossy type who produces a TV show, and Cesare, homosexual and malicious, who's a sociologist. When she writes her will, Carolina leaves her property to the one child who's married and had a child in the past year and a half.",it,https://image.tmdb.org/t/p/w500/bhIpeb6sacnS8INaBYUJgtGMKqk.jpg,5,Gianfranco Albano,"Faso Film, San Francisco Film"
Blood Symbol,1991,27,"Centuries ago, the monks of the Cult of the Blood Symbol went searching for their ""chosen one"" whose blood, they believed, would make them immortal. Olam, the only living survivor of the cult, finally finds his intended victim in Tracy Walker, a fiesty, athletic college student. Patiently, deliberately, Olam prepares to take the one he's been waiting centuries to kill...",en,https://image.tmdb.org/t/p/w500/ay4Q9adv1fK17nXPgMrP5DmkhdD.jpg,5,Maurice Devereaux,TonMor Productions
Anything That Moves,1992,18,"Two strippers, Lucky and Ronnie, befriend one another. Following sexual drama, Ronnie allegedly kills her boyfriend. Two homicide detectives try to put the pieces together, quizzing Lucky as to what really went down that fateful night.",en,https://image.tmdb.org/t/p/w500/ybsyYrVcFedmFABNFg5HpVZzAgk.jpg,0,John Leslie,VCA Pictures
Un sogno perso,1992,18,,it,N/A,0,Pasquale Scimeca,
Annamalai,1992,"18, 10749",A class-divided friendship goes through highs and lows through several decades.,ta,https://image.tmdb.org/t/p/w500/e96hSrmolvJ2SiaxlDNs3Ye2WEo.jpg,7.3,Suresh Krishna,Kavithalayaa Productions
Chronicle of an Ordinary Suburb,1992,99,"On September 26, 1992, four towers in the Val Fourré neighborhood of Mantes-la-Jolie were destroyed. In the spring of 1991, Dominique Cabrera proposed to some of the former residents to retrace their steps. They go through their old dwellings evoking the memories of the past years. All the life of the housing estate resurfaces, convivial, and to say the least, happy.",fr,https://image.tmdb.org/t/p/w500/rCXYbG3eowWjq8UAswpKZpozvAx.jpg,0,Dominique Cabrera,
The Heat of the Moment,1992,,,fr,N/A,0,Jim Travis,
Badlanders,1992,"28, 12, 878","Committed to overthrowing a bloodthirsty tyrant, brave freedom fighter Blaine (James Phillips) earns a one-way ticket to Prison Planet, an inhospitable wasteland where he battles violent goons and struggles to find Himshaw (Jack Willcox), the key to restoring peace and justice. Written and directed by Armand Gazarian, this sci-fi action film features plenty of comic relief from Dave Bean, who co-stars as a spineless businessman.",en,https://image.tmdb.org/t/p/w500/kpI1YR5wlEnEmawlBnQ9YHtLCNx.jpg,2.3,Armand Gazarian,21st Century Film Corporation
They Bite,1996,"35, 27, 878",Aliens who've come to earth to spawn deep beneath the ocean begin terrorizing a Florida beach community. An ichthyologist and a young filmmaker team up to uncover the mystery of these monsters from the deep--before they strike again.,en,https://image.tmdb.org/t/p/w500/eIm9qNAZdDpwTyXs6aKN4fs3UWm.jpg,3.65,Brett Piper,
Kyodai Makes the Big Time,1992,,"""Love is the only thing subject to negotiation in feature film debut which betrays admiration for the formal rigidity of Straub and Zwartjes.""  ""The film, KYODAI MAKES THE BIG TIME, caused a commotion in the Netherlands when it won the Golden Calf for Best Film (the Dutch Oscar equivalent). The film went on to win the Jozef Von Sternberg Prize For Innovative Narrative Structure at the Mannheim Film Festival.""  ""KYODAI MAKES THE BIG TIME – What was the public’s reaction to this? Your first film – is it like your first time having sex? Which I guess is a subjective question, but I’m thinking experimental, unnerving, liberating, a learning experience, a humbling experience, leaving you wanting more ?  SEX SHOULD ALWAYS BE LIKE YOU'RE HAVING SEX FOR THE FIRST TIME.""",nl,N/A,3.2,Aryan Kaganof,
Manila paloma blanca,1992,18,,it,https://image.tmdb.org/t/p/w500/9Ki4vHit03xZJgKaKZhW0uo0skE.jpg,0,Daniele Segre,
Transit,1992,,Four illegal Brazilian musicians come to try their luck in dynamic Amsterdam... It will be a survival of the fittest.,nl,https://image.tmdb.org/t/p/w500/rg0ZLBocFR5PssJyU7swdppDEow.jpg,0,Eddy Terstall,
